name,parameters
vovnet57a,35625546
wide_resnet50_2,66854730
wide_resnet101_2,124858186
xception41,24941050
xception41p,24879242
xception65,37887802
xception65p,37791050
xception71,40310226
xcit_large_24_p8_224,188171338
xcit_large_24_p8_384,188171338
xcit_large_24_p16_224,188334826
xcit_large_24_p16_384,188334826
xcit_medium_24_p8_224,83815754
xcit_medium_24_p8_384,83815754
xcit_medium_24_p16_224,83887882
xcit_medium_24_p16_384,83887882
xcit_nano_12_p8_224,2921306
xcit_nano_12_p8_384,2921306
xcit_nano_12_p16_224,2925514
xcit_nano_12_p16_384,2925514
xcit_small_12_p8_224,25831882
xcit_small_12_p8_384,25831882
xcit_small_12_p16_224,25872154
xcit_small_12_p16_384,25872154
xcit_small_24_p8_224,47249962
xcit_small_24_p8_384,47249962
xcit_small_24_p16_224,47290234
xcit_small_24_p16_384,47290234
xcit_tiny_12_p8_224,6515434
xcit_tiny_12_p8_384,6515434
xcit_tiny_12_p16_224,6525202
xcit_tiny_12_p16_384,6525202
xcit_tiny_24_p8_224,11916058
xcit_tiny_24_p8_384,11916058
xcit_tiny_24_p16_224,11925826
xcit_tiny_24_p16_384,11925826
