name,parameters
efficientnet_l2,474859358
efficientnet_lite0,3383818
efficientnet_lite1,4148490
efficientnet_lite2,4823882
efficientnet_lite3,6928906
efficientnet_lite4,11738378
efficientnetv2_l,117247082
efficientnetv2_m,52871166
efficientnetv2_rw_m,51104972
efficientnetv2_rw_s,22166226
efficientnetv2_rw_t,12634638
efficientnetv2_s,20190298
efficientnetv2_xl,206851618
efficientvit_b0,2141818
efficientvit_b1,7517034
efficientvit_b2,21795322
efficientvit_b3,46110666
efficientvit_l1,49485098
efficientvit_l2,60538026
efficientvit_l3,239700298
efficientvit_m0,2158366
efficientvit_m1,2789490
efficientvit_m2,3964804
efficientvit_m3,6582932
efficientvit_m4,8423078
efficientvit_m5,12092622
ese_vovnet19b_dw,5528330
ese_vovnet19b_slim,2658266
ese_vovnet19b_slim_dw,1389882
ese_vovnet39b,23554186
ese_vovnet39b_evos,23564394
ese_vovnet57b,37594186
ese_vovnet99b,62184522
eva02_base_patch14_224,85766410
eva02_base_patch14_448,86356234
eva02_base_patch16_clip_224,85877002
eva02_enormous_patch14_clip_224,4348738826
eva02_large_patch14_224,303279050
eva02_large_patch14_448,304065482
eva02_large_patch14_clip_224,303328202
eva02_large_patch14_clip_336,303655882
eva02_small_patch14_224,21624970
eva02_small_patch14_336,21747850
eva02_tiny_patch14_224,5504074
eva02_tiny_patch14_336,5565514
eva_giant_patch14_224,1011160202
eva_giant_patch14_336,1011610762
eva_giant_patch14_560,1013052554
eva_giant_patch14_clip_224,1011160202
eva_large_patch14_196,303127562
eva_large_patch14_336,303516682
fastvit_ma36,42863174
fastvit_s12,8458826
fastvit_sa12,10566218
fastvit_sa24,20539466
fastvit_sa36,30512714
fastvit_t8,3264922
fastvit_t12,6538954
fbnetc_100,3607050
fbnetv3_b,6633314
fbnetv3_d,8341122
fbnetv3_g,14658738
flexivit_base,85827850
flexivit_large,303340554
flexivit_small,21680266
focalnet_base_lrf,87735018
focalnet_base_srf,87133394
focalnet_huge_fl3,683775594
focalnet_huge_fl4,686488834
focalnet_large_fl3,205579114
focalnet_large_fl4,205759618
focalnet_small_lrf,49581130
focalnet_small_srf,49129906
focalnet_tiny_lrf,27886618
focalnet_tiny_srf,27665806
focalnet_xlarge_fl3,364053610
focalnet_xlarge_fl4,364294274
gc_efficientnetv2_rw_t,12662963
gcresnet33ts,18612508
gcresnet50t,23868570
gcresnext26ts,8448090
gcresnext50ts,13638810
gcvit_base,89306086
gcvit_small,50330863
gcvit_tiny,27714104
gcvit_xtiny,19473424
gcvit_xxtiny,11487558
gernet_l,28542890
gernet_m,18607530
gernet_s,6271971
ghostnet_050,1319102
ghostnet_100,3914318
ghostnet_130,6090630
ghostnetv2_100,4888718
ghostnetv2_130,7692214
ghostnetv2_160,11124508
gmixer_12_224,12319930
gmixer_24_224,24339946
gmlp_b16_224,72567522
gmlp_s16_224,19168226
gmlp_ti16_224,5739618
halo2botnet50ts_256,20606850
halonet26t,10451778
halonet50ts,20704770
halonet_h1,7592186
haloregnetz_b,10158442
hardcorenas_a,3992042
hardcorenas_b,3908354
hardcorenas_c,4253034
hardcorenas_d,6232018
hardcorenas_e,6802802
hardcorenas_f,6931498
hrnet_w18,19270494
hrnet_w18_small,11158954
hrnet_w18_small_v2,13568954
hrnet_w18_ssld,19266654
hrnet_w30,35683710
hrnet_w32,39204170
hrnet_w40,55528650
hrnet_w44,65036474
hrnet_w48,75441354
hrnet_w48_ssld,75437514
hrnet_w64,126031434
inception_next_base,83629866
inception_next_small,47092066
inception_next_tiny,25773730
inception_resnet_v2,54321834
inception_v3,21806058
inception_v4,41158186
lambda_resnet26rpt_256,8960178
lambda_resnet26t,8929762
lambda_resnet50ts,19508322
lamhalobotnet50ts_256,20541314
lcnet_035,376180
lcnet_050,612666
lcnet_075,1090098
lcnet_100,1685610
lcnet_150,3232922
legacy_senet154,113060474
legacy_seresnet18,11270722
legacy_seresnet34,21450998
legacy_seresnet50,26059514
legacy_seresnet101,47298362
legacy_seresnet152,64793338
legacy_seresnext26_32x4d,14761770
legacy_seresnext50_32x4d,25531386
legacy_seresnext101_32x4d,46926906
legacy_xception,20827442
levit_128,8451636
levit_128s,7014758
levit_192,10184769
levit_256,17878136
levit_256d,25702918
levit_384,37606216
levit_384_s8,37596340
levit_512,94158950
levit_512_s8,73158666
levit_512d,91736228
levit_conv_128,8451636
levit_conv_128s,7014758
levit_conv_192,10184769
levit_conv_256,17878136
levit_conv_256d,25702918
levit_conv_384,37606216
levit_conv_384_s8,37596340
levit_conv_512,94158950
levit_conv_512_s8,73158666
levit_conv_512d,91736228
maxvit_base_tf_224,118706398
maxvit_base_tf_384,118892158
maxvit_base_tf_512,119115070
maxvit_large_tf_224,210770810
maxvit_large_tf_384,211018490
maxvit_large_tf_512,211315706
maxvit_nano_rw_256,14943278
maxvit_pico_rw_256,7203566
maxvit_rmlp_base_rw_224,115374478
maxvit_rmlp_base_rw_384,115374478
maxvit_rmlp_nano_rw_256,14993582
maxvit_rmlp_pico_rw_256,7261550
maxvit_rmlp_small_rw_224,64133734
maxvit_rmlp_small_rw_256,64133734
maxvit_rmlp_tiny_rw_256,28641026
maxvit_small_tf_224,68166646
maxvit_small_tf_384,68257366
maxvit_small_tf_512,68366230
maxvit_tiny_pm_256,29581474
maxvit_tiny_rw_224,28549442
maxvit_tiny_rw_256,28558850
maxvit_tiny_tf_224,30408658
maxvit_tiny_tf_384,30469138
maxvit_tiny_tf_512,30541714
maxvit_xlarge_tf_224,473430322
maxvit_xlarge_tf_384,473801842
maxvit_xlarge_tf_512,474247666
maxxvit_rmlp_nano_rw_256,16271758
maxxvit_rmlp_small_rw_256,65249206
maxxvit_rmlp_tiny_rw_256,29128658
maxxvitv2_nano_rw_256,22935301
maxxvitv2_rmlp_base_rw_224,115077762
maxxvitv2_rmlp_base_rw_384,115077762
maxxvitv2_rmlp_large_rw_224,214148976
mixer_b16_224,59119162
mixer_b32_224,59532118
mixer_l16_224,207181418
mixer_l32_224,205924514
mixer_s16_224,18020394
mixer_s32_224,18596754
mixnet_l,5807622
mixnet_m,3492752
mixnet_s,2612976
mixnet_xl,10375138
mixnet_xxl,22440122
mnasnet_050,950322
mnasnet_075,1902018
mnasnet_100,3115122
mnasnet_140,5847538
mnasnet_small,762074
mobilenetv2_035,408938
mobilenetv2_050,700490
mobilenetv2_075,1368234
mobilenetv2_100,2236682
mobilenetv2_110d,3248330
mobilenetv2_120d,4562954
mobilenetv2_140,4333706
mobilenetv3_large_075,2725338
mobilenetv3_large_100,4214842
mobilenetv3_rw,4211728
mobilenetv3_small_050,578474
mobilenetv3_small_075,1027122
mobilenetv3_small_100,1528106
mobileone_s0,4278522
mobileone_s1,3557002
mobileone_s2,5856138
mobileone_s3,8142090
mobileone_s4,12922738
mobilevit_s,4944042
mobilevit_xs,1936698
mobilevit_xxs,954234
mobilevitv2_050,1116163
mobilevitv2_075,2484859
mobilevitv2_100,4393971
mobilevitv2_125,6843499
mobilevitv2_150,9833443
mobilevitv2_175,13363803
mobilevitv2_200,17434579
mvitv2_base,50711434
mvitv2_base_cls,50711530
mvitv2_huge_cls,665358282
mvitv2_large,216851482
mvitv2_large_cls,212494042
mvitv2_small,34108906
mvitv2_small_cls,34109002
mvitv2_tiny,23412010
nasnetalarge,84760480
nest_base,67215498
nest_base_jx,67215498
nest_small,37970026
nest_small_jx,37970026
nest_tiny,16676458
nest_tiny_jx,16676458
nf_ecaresnet26,13966710
nf_ecaresnet50,23528608
nf_ecaresnet101,42520821
nf_regnet_b0,7812898
nf_regnet_b1,9272594
nf_regnet_b2,13260258
nf_regnet_b3,17452362
nf_regnet_b4,28879266
nf_regnet_b5,48220098
nf_resnet26,13966666
nf_resnet50,23528522
nf_resnet101,42520650
nf_seresnet26,15367466
nf_seresnet50,26059514
nf_seresnet101,47298362
nfnet_f0,68447002
nfnet_f1,129591962
nfnet_f2,190736922
nfnet_f3,251881882
nfnet_f4,313026842
nfnet_f5,374171802
nfnet_f6,435316762
nfnet_f7,496461722
nfnet_l0,32792538
pit_b_224,72750090
pit_b_distilled_224,72760596
pit_s_224,22890682
pit_s_distilled_224,22896596
pit_ti_224,4592842
pit_ti_distilled_224,4595476
pit_xs_224,10237738
pit_xs_distilled_224,10241684
pnasnet5large,81779878
poolformer_m36,55411210
poolformer_m48,72712138
poolformer_s12,11407306
poolformer_s24,20881098
poolformer_s36,30354890
poolformerv2_m36,55315858
poolformerv2_m48,72584746
poolformerv2_s12,11383842
poolformerv2_s24,20833594
poolformerv2_s36,30283346
pvt_v2_b0,3412330
pvt_v2_b1,13501130
pvt_v2_b2,24854986
pvt_v2_b2_li,22045642
pvt_v2_b3,44730826
pvt_v2_b4,62048202
pvt_v2_b5,81448138
regnetv_040,19562530
regnetv_064,29292022
regnetx_002,2319482
regnetx_004,4776362
regnetx_004_tv,5098986
regnetx_006,5672330
regnetx_008,6593386
regnetx_016,8286266
regnetx_032,14297642
regnetx_040,20770858
regnetx_064,24600506
regnetx_080,37670858
regnetx_120,43887466
regnetx_160,52250026
regnetx_320,105315770
regnety_002,2797686
regnety_004,3907554
regnety_006,5452250
regnety_008,5501858
regnety_008_tv,5655362
regnety_016,10322320
regnety_032,17938468
regnety_040,19568546
regnety_040_sgn,19568546
regnety_064,29299222
regnety_080,37183238
regnety_080_tv,37384642
regnety_120,49603954
regnety_160,80595390
regnety_320,141370900
regnety_640,276506996
regnety_1280,637493824
regnety_2560,1272260588
regnetz_005,6107992
regnetz_040,26593090
regnetz_040_h,27417250
regnetz_b16,8193850
regnetz_b16_evos,8215194
regnetz_c16,11938250
regnetz_c16_evos,11966186
regnetz_d8,21598722
regnetz_d8_evos,21689226
regnetz_d32,25801218
regnetz_e8,55669666
repghostnet_050,1045778
repghostnet_058,1278198
repghostnet_080,2010778
repghostnet_100,2805414
repghostnet_111,3271794
repghostnet_130,4210422
repghostnet_150,5307146
repghostnet_200,8527934
repvgg_a0,7840778
repvgg_a1,12824074
repvgg_a2,26815690
repvgg_b0,14549770
repvgg_b1,55386506
repvgg_b1g4,37937546
repvgg_b2,86486986
repvgg_b2g4,59222986
repvgg_b3,120549898
repvgg_b3g4,81289738
repvgg_d2se,130799446
repvit_m0_9,4727028
repvit_m1,4722948
repvit_m1_0,6413776
repvit_m1_1,7787172
repvit_m1_5,13628692
repvit_m2,7782244
repvit_m2_3,22419612
repvit_m3,9667092
res2net50_14w_8s,23031306
res2net50_26w_4s,23670610
res2net50_26w_6s,35022938
res2net50_26w_8s,46375266
res2net50_48w_2s,23258794
res2net50d,23689842
res2net101_26w_4s,43178178
res2net101d,43197410
res2next50,22642954
resmlp_12_224,14969722
resmlp_24_224,29639530
resmlp_36_224,44309338
resmlp_big_24_224,128376970
resnest14d,8583178
resnest26d,15040938
resnest50d,25454730
resnest50d_1s4x24d,23648490
resnest50d_4s2x40d,28389082
resnest101e,46246506
resnest200e,68173034
resnest269e,108900970
resnet10t,4927618
resnet14t,8053122
resnet18,11181642
resnet18d,11200874
resnet26,13966666
resnet26d,13985898
resnet26t,13983362
resnet32ts,16441986
resnet33ts,18408066
resnet34,21289802
resnet34d,21309034
resnet50,23528522
resnet50_gn,23528522
resnet50c,23547754
resnet50d,23547754
resnet50s,23652298
resnet50t,23545218
resnet51q,33668410
resnet61q,34818458
resnet101,42520650
resnet101c,42539882
resnet101d,42539882
resnet101s,42644426
resnet152,58164298
resnet152c,58183530
resnet152d,58183530
resnet152s,58288074
resnet200,62645322
resnet200d,62664554
resnetaa34d,21309034
resnetaa50,23528522
resnetaa50d,23547754
resnetaa101d,42539882
resnetblur18,11181642
resnetblur50,23528522
resnetblur50d,23547754
resnetblur101d,42539882
resnetrs50,33663402
resnetrs101,61590186
resnetrs152,84593066
resnetrs200,91181482
resnetrs270,127832938
resnetrs350,161927658
resnetrs420,189863146
resnetv2_50,23520842
resnetv2_50d,23540074
resnetv2_50d_evos,23562858
resnetv2_50d_frn,23562858
resnetv2_50d_gn,23540074
resnetv2_50t,23537538
resnetv2_50x1_bit,23520842
resnetv2_50x3_bit,211235530
resnetv2_101,42512970
resnetv2_101d,42532202
resnetv2_101x1_bit,42512970
resnetv2_101x3_bit,381851338
resnetv2_152,58156618
resnetv2_152d,58175850
resnetv2_152x2_bit,232279178
resnetv2_152x4_bit,928422154
resnext26ts,8269442
resnext50_32x4d,23000394
resnext50d_32x4d,23019626
resnext101_32x4d,42149194
resnext101_32x8d,86762826
resnext101_32x16d,191998282
resnext101_32x32d,466501962
resnext101_64x4d,81426762
rexnet_100,3528683
rexnet_130,5908741
rexnet_150,7826803
rexnet_200,13831230
rexnet_300,30906202
rexnetr_100,3615114
rexnetr_130,5959730
rexnetr_150,7880466
rexnetr_200,13987042
rexnetr_300,31007418
samvit_base_patch16,89673482
samvit_base_patch16_224,85695754
samvit_huge_patch16,637028618
samvit_large_patch16,308280842
sebotnet33ts_256,12433794
sedarknet21,19935682
sehalonet33ts,12423522
selecsls42,29086762
selecsls42b,31443498
selecsls60,29402578
selecsls60b,31759314
selecsls84,49686410
semnasnet_050,813816
semnasnet_075,1644088
semnasnet_100,2618848
semnasnet_140,4837802
senet154,113060474
sequencer2d_l,53917066
sequencer2d_m,37926538
sequencer2d_s,27270538
seresnet18,11271754
seresnet33ts,18511010
seresnet34,21452546
seresnet50,26059514
seresnet50t,26076210
seresnet101,47298362
seresnet152,64793338
seresnet152d,64812570
seresnet200d,69826586
seresnet269d,111644250
seresnetaa50d,26078746
seresnext26d_32x4d,14781002
seresnext26t_32x4d,14778466
seresnext26ts,8359554
seresnext50_32x4d,25531386
seresnext101_32x4d,46926906
seresnext101_32x8d,91540538
seresnext101_64x4d,86204474
seresnext101d_32x8d,91559770
seresnextaa101d_32x8d,91559770
seresnextaa201d_32x8d,147366394
skresnet18,11450186
skresnet34,21774506
skresnet50,23774650
skresnet50d,23793882
skresnext50_32x4d,25451274
spnasnet_100,3153426
swin_base_patch4_window7_224,86753474
swin_base_patch4_window12_384,86888834
swin_large_patch4_window7_224,195010846
swin_large_patch4_window12_384,195213886
swin_s3_base_224,70364452
swin_s3_small_224,48975988
swin_s3_tiny_224,27567364
swin_small_patch4_window7_224,48844948
swin_tiny_patch4_window7_224,27527044
swinv2_base_window8_256,86904066
swinv2_base_window12_192,86904066
swinv2_base_window12to16_192to256,86904066
swinv2_base_window12to24_192to384,86904066
swinv2_base_window16_256,86904066
swinv2_cr_base_224,86862714
swinv2_cr_base_384,86862714
swinv2_cr_base_ns_224,86864506
swinv2_cr_giant_224,2594705866
swinv2_cr_giant_384,2594705866
swinv2_cr_huge_224,655041098
swinv2_cr_huge_384,655149950
swinv2_cr_large_224,195160882
swinv2_cr_large_384,195160882
swinv2_cr_small_224,48933790
swinv2_cr_small_384,48933790
swinv2_cr_small_ns_224,48935134
swinv2_cr_small_ns_256,48935134
swinv2_cr_tiny_224,27570814
swinv2_cr_tiny_384,27570814
swinv2_cr_tiny_ns_224,27572158
swinv2_large_window12_192,195218302
swinv2_large_window12to16_192to256,195218302
swinv2_large_window12to24_192to384,195218302
swinv2_small_window8_256,48967108
swinv2_small_window16_256,48967108
swinv2_tiny_window8_256,27585844
swinv2_tiny_window16_256,27585844
