iteration,node_id,accuracy,test_loss,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9
0,4,0.007599999999999996,-0.10734947185516353,0.04521357009352034,0.11708687044762461,0.007599999999999996,0.14100000000000001,0.18200000000000005,-0.063,0.11099999999999999,0.0,0.04,-0.14800000000000002,0.243,-0.6040000000000001,0.174
0,1,0.011299999999999977,-0.04709506645202621,0.021700166186572556,0.04083566383342396,0.011299999999999977,0.64,0.317,0.136,-0.188,-0.095,0.04,-0.265,0.10999999999999999,0.007000000000000006,-0.589
0,0,0.010599999999999998,-0.006052368164062516,0.03994472460032797,-0.017354117347914533,0.010599999999999943,-0.09299999999999997,0.738,0.161,0.216,-0.325,-0.713,0.237,0.11199999999999999,0.179,-0.40599999999999997
0,3,0.05399999999999999,-0.30164857692718483,0.05228599896655309,-0.003594864661853714,0.05399999999999994,0.577,-0.17199999999999993,0.067,0.209,0.0,-0.055,-0.028000000000000025,0.04199999999999998,-0.235,0.135
0,2,-0.020600000000000007,-0.09457176208496065,0.018620116074500453,0.07774798149913348,-0.020600000000000007,-0.19599999999999995,0.28200000000000003,0.22200000000000003,0.092,0.0,-0.131,-0.406,-0.43900000000000006,0.183,0.187
1,0,0.018799999999999983,-0.0340267803192138,0.010785108536284338,0.007689251826466514,0.018799999999999983,-0.16999999999999993,0.259,0.149,0.16800000000000004,-0.33,-0.489,0.41700000000000004,0.125,0.33000000000000007,-0.271
1,1,0.007299999999999973,-0.039117105197906454,0.01950812625120557,0.015017162313203491,0.007299999999999973,0.47700000000000004,0.17100000000000004,0.061,-0.126,-0.189,0.145,-0.05799999999999994,0.08699999999999997,-0.10399999999999998,-0.391
1,2,0.04830000000000001,-0.1913876611709595,0.09814218656130913,0.1314497584996454,0.048299999999999954,-0.26,0.03300000000000003,0.186,0.11400000000000002,0.032,-0.066,-0.18099999999999994,-0.14100000000000001,0.553,0.213
1,4,0.0519,-0.2202528815269471,0.0847713893067939,0.0675420852469561,0.051899999999999946,0.062,0.118,-0.07,0.041000000000000036,0.037000000000000005,0.146,0.0020000000000000018,0.369,-0.2869999999999999,0.10099999999999999
1,3,0.033899999999999986,-0.24615018062591565,0.04419848458758674,0.07566667177602876,0.033899999999999986,0.279,-0.139,0.07600000000000001,0.08100000000000002,0.066,-0.04500000000000001,0.052000000000000046,-0.04600000000000004,-0.040999999999999925,0.055999999999999994
2,4,0.05159999999999998,-0.23955428056716932,0.07568055428576043,0.018919249790182335,0.05159999999999998,0.034999999999999976,-0.020999999999999908,0.014999999999999958,-0.022999999999999965,0.021000000000000005,0.17200000000000001,0.04300000000000004,0.29000000000000004,-0.1429999999999999,0.127
2,3,0.023899999999999977,-0.18698004035949722,0.040916211610686815,0.0640428525174132,0.023899999999999977,0.189,-0.07799999999999996,-0.031000000000000028,0.098,0.126,-0.09099999999999997,0.1090000000000001,-0.09599999999999997,-0.038999999999999924,0.05200000000000002
2,0,0.007599999999999996,-0.00651734924316405,-0.006970895183108117,0.0030187282261305848,0.00759999999999994,-0.16600000000000004,0.15400000000000003,0.10099999999999998,0.203,-0.273,-0.40199999999999997,0.30600000000000005,0.07100000000000001,0.30800000000000005,-0.22599999999999998
2,1,0.02210000000000001,-0.07180949678421022,0.03675432073971313,-0.008403284776908437,0.022099999999999898,0.384,0.14300000000000002,0.01699999999999996,-0.14399999999999996,-0.1,0.182,-0.0129999999999999,0.07700000000000001,-0.03599999999999992,-0.28900000000000003
2,2,0.059,-0.17687089796066302,0.09952277373796303,-0.008474833859880515,0.059,-0.258,0.06300000000000006,0.118,0.09200000000000003,0.036000000000000004,-0.062,-0.1419999999999999,-0.139,0.64,0.24200000000000002
3,4,0.032200000000000006,-0.1511747685432434,0.046333973759221714,0.002326526795519035,0.032200000000000006,0.01200000000000001,0.018000000000000016,-0.07200000000000001,-0.05299999999999999,-0.017000000000000015,0.172,0.028000000000000025,0.26599999999999996,-0.15400000000000003,0.122
3,0,-0.0012999999999999678,0.006483587551116887,-0.016370616533020133,-0.0037423577284950715,-0.0012999999999999678,-0.10699999999999998,0.16400000000000003,0.11499999999999999,0.17,-0.352,-0.36,0.268,0.05499999999999994,0.20500000000000002,-0.17099999999999999
3,3,0.021199999999999997,-0.18150185155868526,0.03858029540903729,-0.03676948255884427,0.021200000000000052,0.199,-0.04899999999999993,0.0010000000000000009,0.04099999999999998,0.145,-0.04899999999999999,0.11699999999999999,-0.07900000000000007,-0.08399999999999996,-0.030000000000000027
3,1,0.016800000000000037,-0.07277294569015513,0.026201191621262776,-0.016139174444670668,0.016800000000000093,0.334,0.09599999999999997,0.013999999999999957,-0.10199999999999998,-0.13500000000000004,0.20099999999999998,-0.010000000000000009,0.09399999999999997,-0.06999999999999995,-0.25399999999999995
3,2,0.054900000000000004,-0.18374478254318238,0.08530982748729499,-0.005132207810064904,0.054900000000000115,-0.237,-0.030000000000000027,0.13899999999999996,0.094,0.03699999999999999,-0.009000000000000008,-0.09199999999999997,-0.08000000000000007,0.5,0.22699999999999998
4,2,0.04349999999999998,-0.16462718591690062,0.06032910270555192,-0.0038376697413328165,0.04349999999999993,-0.21499999999999997,0.006000000000000005,0.10699999999999998,0.09599999999999997,0.013999999999999985,-0.030999999999999972,-0.09799999999999998,-0.08299999999999996,0.40399999999999997,0.235
4,1,0.028299999999999992,-0.13989640607833853,0.03726402322530875,-0.0010114478616912725,0.028300000000000047,0.244,0.06800000000000006,0.033999999999999975,-0.129,-0.04500000000000001,0.199,0.0040000000000000036,0.10899999999999999,0.03499999999999992,-0.236
4,0,-0.007900000000000018,0.023461581897735728,-0.02422516124880275,-0.010665192938912993,-0.007899999999999963,-0.07300000000000006,0.17000000000000004,0.11299999999999999,0.13999999999999999,-0.322,-0.351,0.22599999999999998,0.08199999999999996,0.122,-0.18600000000000005
4,3,0.032999999999999974,-0.20877006349563598,0.052738650655701325,0.0019970759830192364,0.032999999999999974,0.128,-0.08399999999999996,0.01599999999999996,0.04799999999999999,0.172,-0.01899999999999996,0.06600000000000006,-0.050000000000000044,0.0020000000000000018,0.05099999999999999
4,4,0.03520000000000001,-0.17372309017181387,0.047923980265319854,0.013029169618624048,0.03520000000000001,0.02899999999999997,0.008000000000000007,-0.010000000000000009,-0.07300000000000001,-0.0010000000000000009,0.17600000000000002,0.05400000000000005,0.22799999999999998,-0.16900000000000004,0.10999999999999999
5,4,0.023800000000000043,-0.11879504256248485,0.03104999686688259,0.005267289039153744,0.023799999999999932,0.027000000000000024,0.0039999999999998925,-0.01200000000000001,-0.05299999999999999,-0.0050000000000000044,0.123,0.015999999999999903,0.16699999999999998,-0.10599999999999998,0.07700000000000001
5,2,0.044399999999999995,-0.1701990795612336,0.06417220252080147,-0.005838409781373732,0.044399999999999884,-0.21699999999999997,-0.010000000000000009,0.08300000000000002,0.066,0.016999999999999987,0.034,-0.127,-0.06500000000000006,0.426,0.237
5,1,0.017699999999999994,-0.11553354401588445,0.028215869132401206,-0.009573740076073478,0.017699999999999994,0.24800000000000005,0.05399999999999994,-0.01100000000000001,-0.07100000000000001,-0.08900000000000002,0.20700000000000002,-0.008000000000000007,0.10799999999999998,-0.04400000000000004,-0.21699999999999997
5,3,0.03520000000000001,-0.25160419201850903,0.05169549098431864,0.0011683423279537086,0.0351999999999999,0.09200000000000003,-0.07700000000000007,0.0030000000000000027,0.09999999999999998,0.22,-0.09399999999999997,0.16199999999999992,-0.09899999999999998,0.02100000000000002,0.02400000000000002
