2024-10-15 17:25:44,937 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.464777395400134, accuracy: 0.9219047619047619
2024-10-15 17:25:45,091 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.4617876385197495, accuracy: 0.923047619047619
2024-10-15 17:25:45,241 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.4726837486931772, accuracy: 0.919047619047619
2024-10-15 17:25:50,245 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.39551897554686577, accuracy: 0.9321904761904762
2024-10-15 17:25:50,503 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.39303460825573316, accuracy: 0.9323809523809524
2024-10-15 17:25:50,569 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.39853722435055355, accuracy: 0.928952380952381
2024-10-15 17:25:50,690 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.4181000719467799, accuracy: 0.9217142857142857
2024-10-15 17:25:50,875 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.39079098096399595, accuracy: 0.9339047619047619
2024-10-15 17:25:50,897 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.39411236652822207, accuracy: 0.9340952380952381
2024-10-15 17:25:50,997 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.3961019510572607, accuracy: 0.932
2024-10-15 17:25:51,064 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.3895992330529473, accuracy: 0.9335238095238095
2024-10-15 17:26:30,533 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.36251957407503416, accuracy: 0.9257142857142857
2024-10-15 17:26:30,623 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.3495078018217376, accuracy: 0.9346666666666666
2024-10-15 17:26:30,623 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.35650011526815817, accuracy: 0.9335238095238095
2024-10-15 17:26:30,628 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.35995866042194946, accuracy: 0.9302857142857143
2024-10-15 17:26:30,665 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.3514146781328953, accuracy: 0.936
2024-10-15 17:26:30,788 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.347501234032891, accuracy: 0.9342857142857143
2024-10-15 17:26:30,854 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.3544555931380301, accuracy: 0.9344761904761905
2024-10-15 17:26:30,893 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.35498543535218097, accuracy: 0.9321904761904762
2024-10-15 17:26:36,642 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.3049373152581128, accuracy: 0.9451428571428572
2024-10-15 17:26:36,683 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.3126492508433082, accuracy: 0.9386666666666666
2024-10-15 17:26:36,719 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.3191074044415445, accuracy: 0.935047619047619
2024-10-15 17:26:36,819 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.30553926608779214, accuracy: 0.9434285714285714
2024-10-15 17:26:36,820 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.3168509254852931, accuracy: 0.9384761904761905
2024-10-15 17:26:36,931 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.3029872664899537, accuracy: 0.9443809523809524
2024-10-15 17:26:36,986 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.30868312404914333, accuracy: 0.944
2024-10-15 17:26:37,043 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.3098133452010877, accuracy: 0.944
2024-10-15 17:27:16,944 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.29019853897166975, accuracy: 0.9415238095238095
2024-10-15 17:27:17,783 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.28399091213941574, accuracy: 0.943047619047619
2024-10-15 17:27:18,302 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.2918953784487464, accuracy: 0.9398095238095238
2024-10-15 17:27:18,382 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.28955858905207027, accuracy: 0.940952380952381
2024-10-15 17:27:18,422 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.2871536362351793, accuracy: 0.9464761904761905
