node_id,accuracy,test_loss,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9
0,-0.0004968273809523814,0.0030250293401054484,-0.0005476106243513258,0.00013929560062170076,-0.00048705160500777886,-0.0008670128765792045,-0.0022873400461506173,-0.0038013335179032854,0.0017533887317303155,-0.006487670933954036,-0.0008341007367072389,-0.002148045282831295,0.003985750185288112,0.004663452136501418,0.001152396290528108
1,-0.0016363482142857163,0.0021311861587356143,-0.0017427622704371533,-0.001066516714404858,-0.001649420115675402,-0.0005441265792031135,-0.004295888399412625,-0.0014989387227759322,0.0011188413484205567,0.001807505334109206,-0.005752555786888745,-0.004630119793219997,-0.0012160112099314428,-2.135890290407691e-05,-0.0014615484449478533
2,-0.005091562499999998,0.013919073899582338,-0.005439856830083815,-0.00441849123648226,-0.005009626646688052,-0.003290846695821184,-0.005866844975875808,-0.007483619416758949,-0.007877416313059884,-0.00890141596353409,-0.0021287769592141766,-0.00823419947310865,-0.007541168704836008,0.008879161777647403,-0.007651139742319131
3,-0.003128452380952381,0.005860515807251604,-0.0034668809276496306,-0.0030580314494075087,-0.003114421886060119,-0.005981292517006798,-0.003038021816656178,-0.004927267903285343,-0.0019977899575671855,0.0029798576762680635,-0.004952087337177025,-0.0004194005368326903,-0.005464754724847133,-0.001375831133274667,-0.005967630610222286
4,-0.0033655773809523797,0.003376922622882772,-0.0034369167127657287,-0.0011293258101519326,-0.003565113500290349,-0.000877642128279886,-0.00026266519823788545,0.00419207387412329,-0.0005034771334276275,-0.0017081575501891166,-0.017103619474695714,-0.0010374105278854744,-0.007121404252362412,-0.00751732546201232,-0.003711507149936287
5,-0.001820806547619049,0.00499596944853111,-0.002040608754961674,-0.001418463943976885,-0.0017691352780117846,-0.00406277332361516,-0.0026282515208726686,-0.00337918743078627,-0.00632994460160302,-0.00045912738822616707,0.0014018124065769805,-0.0010039516850581583,0.001853749768389843,-0.00014550943580717699,-0.0029381695691160508
6,-0.0012882053571428571,0.00047365903766692044,-0.0014158919743962922,-0.00035413656252787233,-0.0012456624111967748,-0.001671677599611269,-0.002133784350744703,-0.0016617640273163543,-0.001504655822725129,-0.0024140481039666385,0.0012971786248131552,-0.002572354359280245,-0.003906829025384468,0.0006738901926273587,0.0014374203596205586
7,-0.0014544077380952373,-0.0013808096332485577,-0.0015141564994556804,-6.20392830131696e-05,-0.0014401990871778768,-0.004002459912536444,-0.0038346706524019316,-0.0007168523901808787,-0.0034306046676096146,-0.0025804359421976513,-0.0027399303331197963,-0.003078865940948403,-9.018320363164703e-05,0.004885871956585514,0.0011861402142621183
